Model,CV ROC-AUC (avg),CV ROC-AUC (±std),CV F1 (avg),CV F1 (±std),CV Accuracy,Train AUC,Overfit gap (AUC)
Logistic Regression,0.6837,0.0093,0.7227,0.0056,0.6178,0.7035,-0.0198
Random Forest,0.6782,0.0112,0.8229,0.0046,0.7226,0.9066,-0.2284
XGBoost,0.6707,0.0156,0.7503,0.0071,0.6434,0.8268,-0.1561
